Grupo,Grado,Área,TipoAgrupación,Etiqueta,NumeroIntentos,PromedioPorcentaje
1001,10°,Matemáticas,categoria,Estadística,4,33.9
1001,10°,Matemáticas,categoria,Álgebra y cálculo,4,63.2
1001,10°,Matemáticas,competencia,Interpretación y representación,4,37.8
1001,10°,Matemáticas,total,Total,4,46.9
1001,10°,Matemáticas,categoria,Geometría,4,77.8
1001,10°,Matemáticas,competencia,Formulación y ejecución,4,66.7
1001,10°,Matemáticas,competencia,Argumentación,4,16.7
1001,10°,Ciencias Naturales,categoria,Física,2,18.8
1001,10°,Ciencias Naturales,categoria,Biología,2,36.4
1001,10°,Ciencias Naturales,categoria,Química,2,20
1001,10°,Ciencias Naturales,competencia,Indagación,2,0
1001,10°,Ciencias Naturales,competencia,Explicación de fenómenos,2,25
1001,10°,Ciencias Naturales,competencia,Uso comprensivo del conocimiento científico,2,34.6
1001,10°,Ciencias Naturales,total,Total,2,27.1
1001,10°,Lectura Crítica,categoria,Texto narrativo,1,60
1001,10°,Lectura Crítica,categoria,Texto informativo,1,14.3
1001,10°,Lectura Crítica,categoria,Texto argumentativo,1,14.3
1001,10°,Lectura Crítica,competencia,Comprensión global,1,40
1001,10°,Lectura Crítica,competencia,Identificación de información,1,25
1001,10°,Lectura Crítica,competencia,Reflexión y evaluación,1,33.3
1001,10°,Lectura Crítica,total,Total,1,33.3
1001,10°,Sociales y Ciudadanas,categoria,Constitución y participación,1,33.3
1001,10°,Sociales y Ciudadanas,categoria,Conflicto y memoria histórica,1,30
1001,10°,Sociales y Ciudadanas,categoria,Economía y desarrollo,1,0
1001,10°,Sociales y Ciudadanas,competencia,Pensamiento social,1,25
1001,10°,Sociales y Ciudadanas,competencia,Interpretación y análisis de perspectivas,1,16.7
1001,10°,Sociales y Ciudadanas,competencia,Pensamiento reflexivo y sistémico,1,40
1001,10°,Sociales y Ciudadanas,total,Total,1,26.3
1001,10°,Inglés,categoria,Vocabulario,1,40
1001,10°,Inglés,categoria,Comprensión de lectura,1,61.5
1001,10°,Inglés,categoria,Comunicación funcional,1,16.7
1001,10°,Inglés,competencia,Nivel A1,1,50
1001,10°,Inglés,competencia,Nivel A2,1,16.7
1001,10°,Inglés,competencia,Nivel B1,1,62.5
1001,10°,Inglés,total,Total,1,45.8
1003,10°,Matemáticas,categoria,Estadística,1,22.2
1003,10°,Matemáticas,categoria,Álgebra y cálculo,1,33.3
1003,10°,Matemáticas,categoria,Geometría,1,66.7
1003,10°,Matemáticas,competencia,Interpretación y representación,1,18.2
1003,10°,Matemáticas,competencia,Formulación y ejecución,1,44.4
1003,10°,Matemáticas,competencia,Argumentación,1,25
1003,10°,Matemáticas,total,Total,1,29.2
